Date,Treatment,rep,Length,dry_weight,time,sample,IER,OER,IRR,ORR,p,f,RR,SE,IFR,CR,FR,%RR,TIR,OFR,OIR,i,AR,AE,ER,RR
2/1/2023,low,A,24.3,0.0801,2,8A,8.39,2.94,9.65,6.27,0.39,0.63,15.93,0.38,18.04,7.68,47.65,33.42,31.73,122.31,116.03,3.66,113.09,0.97,0.33,
2/1/2023,low,B,25.2,0.1327,2,8B,5.65,1.85,6.34,2.67,0.3,0.63,9.01,0.53,11.99,5.11,31.68,28.45,22.67,87.39,84.71,3.74,82.86,0.98,0.27,
2/1/2023,low,C,24,0.0905,2,8C,6.56,2.25,11.14,-2.03,-0.22,0.63,9.12,1.35,17.7,7.54,46.77,19.5,37.65,145.13,147.15,3.91,144.9,0.98,0.17,
2/1/2023,low,D,22.7,0.0912,2,8D,4.3,2.26,9.2,3.87,0.3,0.63,13.07,0.53,13.5,5.75,35.67,36.64,22.6,87.12,83.25,3.68,80.99,0.97,0.15,
2/1/2023,low,F,24.2,0.1067,2,8E,4.81,1.82,11.21,6.97,0.38,0.63,18.18,0.39,16.02,6.82,42.32,42.97,24.14,93.06,86.08,3.57,84.26,0.98,0.27,
2/1/2023,low,F,23.5,0.0727,2,8F,0.37,1.73,10.3,5.92,0.37,0.63,16.22,0.42,10.67,4.54,28.19,57.55,11.97,46.13,40.2,3.36,38.48,0.96,0.13,
2/1/2023,low,G,26.4,0.138,2,8G,8.76,2.13,9.55,4.12,0.3,0.63,13.67,0.52,18.3,7.79,48.35,28.27,34.68,133.7,129.57,3.74,127.44,0.98,0.43,
2/1/2023,low,H,,0.2437,2,8H,2.49,1.01,6.32,2.68,0.3,0.63,9,0.53,8.81,3.75,23.26,38.7,14.26,54.98,52.29,3.67,51.29,0.98,,
2/1/2023,moderate,A,26.4,0.1548,2,7.5A,4.21,1.99,4.21,1.99,0.32,0.71,6.2,0.55,8.43,7.29,28.85,21.49,22.65,20.42,18.44,0.81,16.45,0.89,0.44,
2/1/2023,moderate,B,26.4,0.1779,2,7.5B,3.34,1.65,3.34,1.65,0.33,0.71,4.99,0.53,6.68,5.77,22.86,21.84,17.87,16.18,14.53,0.81,12.87,0.89,0.35,
2/1/2023,moderate,C,26.2,0.1316,2,7.5C,2.84,1.7,2.84,1.7,0.37,0.71,4.55,0.47,5.69,4.92,19.46,23.37,14.91,13.78,12.07,0.81,10.37,0.86,0.41,
2/1/2023,moderate,D,27.1,0.1463,2,7.5D,1.69,1.48,1.69,1.48,0.47,0.71,3.17,0.34,3.38,2.92,11.57,27.38,8.4,8.19,6.71,0.8,5.24,0.78,0.79,
2/1/2023,moderate,F,22.8,0.0957,2,7.5E,6.02,2.87,6.02,2.87,0.32,0.71,8.9,0.55,12.05,10.42,41.24,21.57,32.34,29.19,26.32,0.81,23.45,0.89,0.37,
2/1/2023,moderate,F,22.5,0.0791,2,7.5F,6.86,2.89,6.86,2.89,0.3,0.71,9.75,0.58,13.72,11.86,46.95,20.77,37.2,33.24,30.34,0.82,27.45,0.9,0.38,
2/1/2023,moderate,G,24.7,0.1348,2,7.5G,5.68,2.27,5.68,2.27,0.29,0.71,7.94,0.6,11.35,9.81,38.86,20.44,30.91,27.5,25.24,0.82,22.97,0.91,0.26,
2/1/2023,moderate,H,,0.1212,2,7.5H,7.75,4.75,7.75,4.75,0.38,0.71,12.5,0.47,15.5,13.4,53.06,23.57,40.56,37.56,32.81,0.81,28.05,0.86,,
2/1/2023,high,A,23.8,0.1071,2,7.5A,5.71,2.79,5.71,2.79,0.33,0.64,8.5,0.49,11.42,7.55,32.95,25.79,24.45,21.53,18.74,0.77,15.95,0.85,0.3,
2/1/2023,high,B,25.7,0.1415,2,7.5B,5.44,1.96,5.44,1.96,0.26,0.64,7.4,0.59,10.87,7.19,31.38,23.57,23.99,20.51,18.55,0.77,16.59,0.89,0.53,
2/1/2023,high,C,26.9,0.1529,2,7.5C,5.88,1.76,5.88,1.76,0.23,0.64,7.65,0.64,11.77,7.79,33.96,22.51,26.32,22.19,20.43,0.78,18.67,0.91,0.82,
2/1/2023,high,D,25,0.0917,2,7.5D,4.99,2.32,4.99,2.32,0.32,0.64,7.31,0.5,9.97,6.6,28.78,25.4,21.47,18.81,16.48,0.77,14.16,0.86,0.05,
2/1/2023,high,F,23.3,0.2263,2,7.5E,2.14,1.09,2.14,1.09,0.34,0.64,3.23,0.47,4.28,2.83,12.36,26.17,9.13,8.08,6.98,0.77,5.89,0.84,0.45,
2/1/2023,high,F,25.1,0.1189,2,7.5F,7.52,2.38,7.52,2.38,0.24,0.64,9.91,0.62,15.05,9.95,43.42,22.82,33.51,28.38,25.99,0.78,23.61,0.91,0.03,
2/1/2023,high,H,21.9,0.1373,2,7.5H,9.26,2.43,9.26,2.43,0.21,0.64,11.69,0.68,18.53,12.26,53.46,21.86,41.78,34.94,32.51,0.78,30.09,0.93,0.2,
2/24/2023,low,A,,0.0801,3,8A,4.05,3.92,20.8,16.24,0.44,0.44,37.05,0.01,24.86,10.32,42.85,86.46,5.8,10.12,-6.13,-1.06,-10.04,1.64,0.58,
2/24/2023,low,B,,0.1327,3,8B,8.16,4.07,16.06,10.89,0.4,0.44,26.95,0.09,24.22,10.05,41.74,64.56,14.79,25.79,14.9,1.01,10.83,0.73,0.59,
2/24/2023,low,C,,0.0905,3,8C,9.87,5.08,7.87,7.96,0.5,0.44,15.83,-0.13,17.75,7.36,30.59,51.76,14.76,25.73,17.77,1.2,12.69,0.71,0.96,
2/24/2023,low,D,,0.0912,3,8D,9.65,4.47,11.2,9.45,0.46,0.44,20.65,-0.03,20.85,8.65,35.93,57.46,15.29,26.65,17.21,1.13,12.73,0.74,0.61,
2/24/2023,low,F,,0.1067,3,8E,3.92,2.86,15.41,10.44,0.4,0.44,25.85,0.09,19.33,8.02,33.31,77.59,7.47,13.02,2.58,0.35,-0.28,-0.11,1.03,
